Assumes 1 GHz with clock period of 1 ns or 1000 ps
count=        190 wc_time=         44 seconds, rt_time=     557000 ps, cycles/sec= 12.659091
count=        191 wc_time=         48 seconds, rt_time=     599000 ps, cycles/sec= 12.479167
count=        192 wc_time=         45 seconds, rt_time=     554000 ps, cycles/sec= 12.311111
count=        193 wc_time=         45 seconds, rt_time=     563000 ps, cycles/sec= 12.511111
count=        194 wc_time=         43 seconds, rt_time=     516000 ps, cycles/sec= 12.000000
count=        195 wc_time=         48 seconds, rt_time=     597000 ps, cycles/sec= 12.437500
count=        196 wc_time=         48 seconds, rt_time=     595000 ps, cycles/sec= 12.395833
count=        197 wc_time=         54 seconds, rt_time=     678000 ps, cycles/sec= 12.555556
count=        198 wc_time=         49 seconds, rt_time=     608000 ps, cycles/sec= 12.408163
count=        199 wc_time=         55 seconds, rt_time=     675000 ps, cycles/sec= 12.272727
count=        200 wc_time=         49 seconds, rt_time=     599000 ps, cycles/sec= 12.224490
count=        201 wc_time=         45 seconds, rt_time=     558000 ps, cycles/sec= 12.400000
count=        202 wc_time=         51 seconds, rt_time=     635000 ps, cycles/sec= 12.450980
count=        203 wc_time=         56 seconds, rt_time=     676000 ps, cycles/sec= 12.071429
count=        204 wc_time=         48 seconds, rt_time=     598000 ps, cycles/sec= 12.458333
count=        205 wc_time=         48 seconds, rt_time=     596000 ps, cycles/sec= 12.416667
count=        206 wc_time=         49 seconds, rt_time=     601000 ps, cycles/sec= 12.265306
count=        207 wc_time=         48 seconds, rt_time=     599000 ps, cycles/sec= 12.479167
count=        208 wc_time=         52 seconds, rt_time=     638000 ps, cycles/sec= 12.269231
count=        209 wc_time=         44 seconds, rt_time=     552000 ps, cycles/sec= 12.545455
count=        210 wc_time=         49 seconds, rt_time=     603000 ps, cycles/sec= 12.306122
count=        211 wc_time=         45 seconds, rt_time=     554000 ps, cycles/sec= 12.311111
count=        212 wc_time=         49 seconds, rt_time=     607000 ps, cycles/sec= 12.387755
count=        213 wc_time=         45 seconds, rt_time=     555000 ps, cycles/sec= 12.333333
count=        214 wc_time=         41 seconds, rt_time=     516000 ps, cycles/sec= 12.585366
count=        215 wc_time=         49 seconds, rt_time=     598000 ps, cycles/sec= 12.204082
count=        216 wc_time=         47 seconds, rt_time=     597000 ps, cycles/sec= 12.702128
count=        217 wc_time=         48 seconds, rt_time=     599000 ps, cycles/sec= 12.479167
count=        218 wc_time=         48 seconds, rt_time=     594000 ps, cycles/sec= 12.375000
count=        219 wc_time=         41 seconds, rt_time=     518000 ps, cycles/sec= 12.634146
count=        220 wc_time=         54 seconds, rt_time=     642000 ps, cycles/sec= 11.888889
count=        221 wc_time=         48 seconds, rt_time=     592000 ps, cycles/sec= 12.333333
count=        222 wc_time=         48 seconds, rt_time=     599000 ps, cycles/sec= 12.479167
count=        223 wc_time=         52 seconds, rt_time=     641000 ps, cycles/sec= 12.326923
count=        224 wc_time=         48 seconds, rt_time=     598000 ps, cycles/sec= 12.458333
count=        225 wc_time=         51 seconds, rt_time=     638000 ps, cycles/sec= 12.509804
count=        226 wc_time=         45 seconds, rt_time=     559000 ps, cycles/sec= 12.422222
count=        227 wc_time=         49 seconds, rt_time=     600000 ps, cycles/sec= 12.244898
count=        228 wc_time=         46 seconds, rt_time=     560000 ps, cycles/sec= 12.173913
count=        229 wc_time=         48 seconds, rt_time=     595000 ps, cycles/sec= 12.395833
count=        230 wc_time=         54 seconds, rt_time=     678000 ps, cycles/sec= 12.555556
count=        231 wc_time=         42 seconds, rt_time=     518000 ps, cycles/sec= 12.333333
count=        232 wc_time=         48 seconds, rt_time=     595000 ps, cycles/sec= 12.395833
count=        233 wc_time=         51 seconds, rt_time=     637000 ps, cycles/sec= 12.490196
count=        234 wc_time=         43 seconds, rt_time=     519000 ps, cycles/sec= 12.069767
count=        235 wc_time=         46 seconds, rt_time=     558000 ps, cycles/sec= 12.130435
count=        236 wc_time=         45 seconds, rt_time=     558000 ps, cycles/sec= 12.400000
count=        237 wc_time=         54 seconds, rt_time=     641000 ps, cycles/sec= 11.870370
count=        238 wc_time=         48 seconds, rt_time=     599000 ps, cycles/sec= 12.479167
count=        239 wc_time=         41 seconds, rt_time=     518000 ps, cycles/sec= 12.634146
count=        240 wc_time=         49 seconds, rt_time=     598000 ps, cycles/sec= 12.204082
count=        241 wc_time=         45 seconds, rt_time=     553000 ps, cycles/sec= 12.288889
count=        242 wc_time=         48 seconds, rt_time=     596000 ps, cycles/sec= 12.416667
count=        243 wc_time=         49 seconds, rt_time=     598000 ps, cycles/sec= 12.204082
count=        244 wc_time=         51 seconds, rt_time=     639000 ps, cycles/sec= 12.529412
count=        245 wc_time=         45 seconds, rt_time=     560000 ps, cycles/sec= 12.444444
count=        246 wc_time=         49 seconds, rt_time=     597000 ps, cycles/sec= 12.183673
count=        247 wc_time=         48 seconds, rt_time=     599000 ps, cycles/sec= 12.479167
count=        248 wc_time=         48 seconds, rt_time=     604000 ps, cycles/sec= 12.583333
count=        249 wc_time=         48 seconds, rt_time=     595000 ps, cycles/sec= 12.395833
count=        250 wc_time=         48 seconds, rt_time=     597000 ps, cycles/sec= 12.437500
count=        251 wc_time=         48 seconds, rt_time=     600000 ps, cycles/sec= 12.500000
count=        252 wc_time=         55 seconds, rt_time=     677000 ps, cycles/sec= 12.309091
count=        253 wc_time=         52 seconds, rt_time=     642000 ps, cycles/sec= 12.346154
count=        254 wc_time=         46 seconds, rt_time=     550000 ps, cycles/sec= 11.956522
count=        255 wc_time=         52 seconds, rt_time=     643000 ps, cycles/sec= 12.365385
count=        256 wc_time=         45 seconds, rt_time=     562000 ps, cycles/sec= 12.488889
count=        257 wc_time=         51 seconds, rt_time=     635000 ps, cycles/sec= 12.450980
count=        258 wc_time=         51 seconds, rt_time=     636000 ps, cycles/sec= 12.470588
count=        259 wc_time=         48 seconds, rt_time=     593000 ps, cycles/sec= 12.354167
count=        260 wc_time=         51 seconds, rt_time=     642000 ps, cycles/sec= 12.588235
count=        261 wc_time=         48 seconds, rt_time=     595000 ps, cycles/sec= 12.395833
count=        262 wc_time=         45 seconds, rt_time=     555000 ps, cycles/sec= 12.333333
count=        263 wc_time=         48 seconds, rt_time=     604000 ps, cycles/sec= 12.583333
count=        264 wc_time=         52 seconds, rt_time=     641000 ps, cycles/sec= 12.326923
count=        265 wc_time=         47 seconds, rt_time=     593000 ps, cycles/sec= 12.617021
count=        266 wc_time=         52 seconds, rt_time=     644000 ps, cycles/sec= 12.384615
count=        267 wc_time=         48 seconds, rt_time=     596000 ps, cycles/sec= 12.416667
count=        268 wc_time=         50 seconds, rt_time=     634000 ps, cycles/sec= 12.680000
count=        269 wc_time=         51 seconds, rt_time=     636000 ps, cycles/sec= 12.470588
count=        270 wc_time=         49 seconds, rt_time=     603000 ps, cycles/sec= 12.306122
count=        271 wc_time=         51 seconds, rt_time=     599000 ps, cycles/sec= 11.745098
count=        272 wc_time=         41 seconds, rt_time=     516000 ps, cycles/sec= 12.585366
count=        273 wc_time=         51 seconds, rt_time=     637000 ps, cycles/sec= 12.490196
count=        274 wc_time=         51 seconds, rt_time=     635000 ps, cycles/sec= 12.450980
count=        275 wc_time=         54 seconds, rt_time=     679000 ps, cycles/sec= 12.574074
count=        276 wc_time=         52 seconds, rt_time=     647000 ps, cycles/sec= 12.442308
count=        277 wc_time=         51 seconds, rt_time=     635000 ps, cycles/sec= 12.450980
count=        278 wc_time=         51 seconds, rt_time=     635000 ps, cycles/sec= 12.450980
count=        279 wc_time=         48 seconds, rt_time=     600000 ps, cycles/sec= 12.500000
count=        280 wc_time=         49 seconds, rt_time=     603000 ps, cycles/sec= 12.306122
count=        281 wc_time=         47 seconds, rt_time=     593000 ps, cycles/sec= 12.617021
count=        282 wc_time=         51 seconds, rt_time=     638000 ps, cycles/sec= 12.509804
count=        283 wc_time=         48 seconds, rt_time=     599000 ps, cycles/sec= 12.479167
count=        284 wc_time=         48 seconds, rt_time=     597000 ps, cycles/sec= 12.437500
count=        285 wc_time=         45 seconds, rt_time=     557000 ps, cycles/sec= 12.377778
count=        286 wc_time=         51 seconds, rt_time=     638000 ps, cycles/sec= 12.509804
count=        287 wc_time=         44 seconds, rt_time=     553000 ps, cycles/sec= 12.568182
count=        288 wc_time=         50 seconds, rt_time=     598000 ps, cycles/sec= 11.960000
count=        289 wc_time=         48 seconds, rt_time=     605000 ps, cycles/sec= 12.604167
count=        290 wc_time=         52 seconds, rt_time=     638000 ps, cycles/sec= 12.269231
count=        291 wc_time=         44 seconds, rt_time=     556000 ps, cycles/sec= 12.636364
count=        292 wc_time=         44 seconds, rt_time=     557000 ps, cycles/sec= 12.659091
count=        293 wc_time=         52 seconds, rt_time=     642000 ps, cycles/sec= 12.346154
count=        294 wc_time=         54 seconds, rt_time=     670000 ps, cycles/sec= 12.407407
count=        295 wc_time=         51 seconds, rt_time=     643000 ps, cycles/sec= 12.607843
count=        296 wc_time=         51 seconds, rt_time=     634000 ps, cycles/sec= 12.431373
count=        297 wc_time=         46 seconds, rt_time=     563000 ps, cycles/sec= 12.239130
count=        298 wc_time=         50 seconds, rt_time=     633000 ps, cycles/sec= 12.660000
count=        299 wc_time=         52 seconds, rt_time=     641000 ps, cycles/sec= 12.326923
count=        300 wc_time=         45 seconds, rt_time=     560000 ps, cycles/sec= 12.444444
count=        301 wc_time=         51 seconds, rt_time=     634000 ps, cycles/sec= 12.431373
count=        302 wc_time=         49 seconds, rt_time=     606000 ps, cycles/sec= 12.367347
count=        303 wc_time=         51 seconds, rt_time=     638000 ps, cycles/sec= 12.509804
count=        304 wc_time=         50 seconds, rt_time=     596000 ps, cycles/sec= 11.920000
count=        305 wc_time=         46 seconds, rt_time=     556000 ps, cycles/sec= 12.086957
count=        306 wc_time=         49 seconds, rt_time=     599000 ps, cycles/sec= 12.224490
